material_id,formula_pretty,band_gap_eV,formation_energy_per_atom_eV,density_g_cm3,space_group_symbol,crystal_system,is_stable,dft_run_type,available_functionals
mp-2420244,TiO2,2.8899,-3.4915613252777775,2.5883829814012427,Pnma,Orthorhombic,False,GGA,GGA
mp-2739239,TiO2,3.1054000000000004,-3.416520455277778,3.8715344688341524,Pnma,Orthorhombic,False,r2SCAN,r2SCAN
mp-2901430,TiO2,2.9417,-3.329509589027778,3.366734166492687,Pmmn,Orthorhombic,False,r2SCAN,r2SCAN
mp-775938,TiO2,2.0838999999999994,-3.495808560833333,4.2606139970394015,Pbcn,Orthorhombic,False,GGA,GGA
mp-777129,TiO2,3.3083,-3.454227132777779,2.238874654502503,P1,Triclinic,False,GGA,GGA
mp-849533,TiO2,2.7647,-3.411356993194444,3.317152938481428,Pnma,Orthorhombic,False,GGA,GGA
mp-1008677,TiO2,1.0553,-3.1997306077777785,4.678793207323615,Fm-3m,Cubic,False,GGA,GGA
mp-1041565,TiO2,1.7794999999999996,-3.464407361944444,4.12753146410562,Imma,Orthorhombic,False,GGA,GGA
mp-1044853,TiO2,1.8458,-3.3302707666666658,3.459893091640618,P3m1,Trigonal,False,GGA,GGA
mp-1079207,TiO2,0.8879999999999999,-3.175238522222222,5.161167519933531,P-62m,Hexagonal,False,GGA,GGA
mp-1101022,TiO2,2.0074,-3.4606675294444442,3.711764476055707,I4/m,Tetragonal,False,GGA,GGA
mp-1102255,TiO2,1.7550999999999997,-3.2104639794444445,5.069928528031713,Pnma,Orthorhombic,False,GGA,GGA
mp-1102591,TiO2,1.3796,-3.2514716744444443,4.503680330818624,Pa-3,Cubic,False,GGA,GGA
mp-1190753,TiO2,2.078171214709214,-3.384136177361112,4.643207512933244,Pbca,Orthorhombic,False,GGA,GGA
mp-1201727,TiO2,2.9027000000000003,-3.44146682423611,3.821223369282592,Pnma,Orthorhombic,False,GGA,GGA
mp-1245098,TiO2,2.6007000000000002,-3.341442911333334,3.3638874122733062,P1,Triclinic,False,GGA,GGA
mp-1245134,TiO2,2.4383,-3.328620551666667,3.5075429506458273,P1,Triclinic,False,GGA,GGA
mp-1245308,TiO2,2.3002,-3.3378273110000007,3.7175634172810055,P1,Triclinic,False,GGA,GGA
mp-1245321,TiO2,2.4087,-3.3187574306666674,3.465243307539353,P1,Triclinic,False,GGA,GGA
mp-1341203,TiO2,2.5137743709489087,-3.3506559790277777,3.201204363371764,Pmmn,Orthorhombic,False,GGA,GGA
mp-1350429,TiO2,1.0603199176882998,-3.3225052104861112,3.540751545748917,Cm,Monoclinic,False,GGA,GGA
mp-1380335,TiO2,1.6811999999999998,-3.3305649886111106,3.4288419249608237,P3m1,Trigonal,False,GGA,GGA
mp-1386640,TiO2,2.5135000000000005,-3.354790039444444,3.6651301672692007,Cmcm,Orthorhombic,False,GGA,GGA
mp-1400963,TiO2,2.5042966204882897,-3.442752224444444,3.4399504502019354,I4/m,Tetragonal,False,GGA,GGA
mp-1408285,TiO2,2.4461,-3.3205849819444446,3.5487996960258132,R3m,Trigonal,False,GGA,GGA
mp-1426806,TiO2,2.6004,-3.3498359844444443,2.4458624482145828,R-3m,Trigonal,False,GGA,GGA
mp-1445035,TiO2,0.0,-0.763506644444444,2.3555800975163286,P6_3/mmc,Hexagonal,False,GGA,GGA
mp-390,TiO2,2.0629999999999997,-3.5080554519444447,3.8561390633045,I4_1/amd,Tetragonal,True,GGA,GGA
mp-430,TiO2,2.2317,-3.46857195111111,4.555389336619149,P2_1/c,Monoclinic,False,GGA,GGA
mp-1439,TiO2,2.5281,-3.5035318511111115,4.307081255492206,Pbcn,Orthorhombic,False,GGA,GGA
mp-1840,TiO2,2.2862,-3.5050141244444446,4.105159901329572,Pbca,Orthorhombic,False,GGA,GGA
mp-2657,TiO2,1.7719,-3.464416747777778,4.236221760308243,P4_2/mnm,Tetragonal,False,GGA,GGA
mp-9173,TiO2,2.4795,-3.4505556619444433,3.8736170641543577,Pnma,Orthorhombic,False,GGA,GGA
mp-25262,TiO2,1.7051000000000003,-3.3228238186111114,3.5314846480274276,Fd-3m,Cubic,False,GGA,GGA
mp-25433,TiO2,2.4515,-3.349036991111111,3.5004323120769305,R-3m,Trigonal,False,GGA,GGA
mp-34688,TiO2,1.9745,-3.493553009444445,3.774912936313007,C2/c,Monoclinic,False,GGA,GGA
mp-553432,TiO2,3.4210000000000003,-3.358393413055555,2.423853927715503,P3_121,Trigonal,False,GGA,GGA
mp-554278,TiO2,2.6843000000000004,-3.501638054444445,3.6159390664985875,C2/m,Monoclinic,False,GGA,GGA
mp-572822,TiO2,1.6966999999999999,-2.9756232152777784,1.9316945443507638,P2_1/m,Monoclinic,False,GGA,GGA
mp-636827,TiO2,2.7867,-3.1994787627777783,1.4013795741568775,Pmm2,Orthorhombic,False,GGA,GGA
mp-655656,TiO2,2.8373999999999997,-3.196460273611111,1.4010542332289038,Cmm2,Orthorhombic,False,GGA,GGA
mp-754672,TiO2,2.9747,-3.4277171819444434,2.8720384841128777,Pnma,Orthorhombic,False,GGA,GGA
mp-754769,TiO2,2.2943,-3.4717620544444436,4.074066982791488,Pnma,Orthorhombic,False,GGA,GGA
mp-756587,TiO2,2.3165,-3.390097015694445,3.819763267914159,P6_3mc,Hexagonal,False,GGA,GGA
mp-756655,TiO2,2.4317,-3.4335929115277786,3.7728117687563625,Pnma,Orthorhombic,False,GGA,GGA
mp-766454,TiO2,2.2310000000000003,-3.4621163130555552,4.019598513592417,C2/m,Monoclinic,False,GGA,GGA
mp-776606,Fe2O3,0.0,-1.5840697992499997,5.142396896483901,P1,Triclinic,False,GGA+U,GGA+U
mp-1068212,Fe2O3,0.0,-0.847481741,4.876586387429596,Pm-3m,Cubic,False,GGA+U,GGA+U
mp-1078361,Fe2O3,0.0,-1.4706406040000004,5.300911620008917,Cmcm,Orthorhombic,False,GGA+U,GGA+U
mp-1178392,Fe2O3,1.5655999999999999,-1.5942362397500005,5.046847814021094,Pbca,Orthorhombic,False,GGA+U,GGA+U
mp-1181824,Fe2O3,1.6876999999999998,-1.538964844,3.583671259481781,C2/c,Monoclinic,False,GGA+U,GGA+U
mp-1205415,Fe2O3,1.0606,-1.5297477865000004,5.144778528635994,Pnma,Orthorhombic,False,GGA+U,GGA+U
mp-1244869,Fe2O3,0.22019999999999995,-1.4175817339999994,4.319354369420118,P1,Triclinic,False,GGA+U,GGA+U
mp-1244911,Fe2O3,0.2831999999999999,-1.4331964888749993,4.336495600185634,P1,Triclinic,False,GGA+U,GGA+U
mp-1245019,Fe2O3,1.1378,-1.4184391396250007,4.150213125172014,P1,Triclinic,False,GGA+U,GGA+U
mp-1245078,Fe2O3,1.1123,-1.4012702128749992,4.009734420550081,P1,Triclinic,False,GGA+U,GGA+U
mp-1245084,Fe2O3,0.12109999999999999,-1.1549741216249998,3.8985816646922062,P1,Triclinic,False,GGA+U,GGA+U
mp-1245154,Fe2O3,0.37980000000000014,-1.3862150799999995,4.012889202006454,P1,Triclinic,False,GGA+U,GGA+U
mp-1245277,Fe2O3,0.30180000000000007,-1.3627964538750006,3.897868360933805,P1,Triclinic,False,GGA+U,GGA+U
mp-1356129,Fe2O3,1.3134000000000001,-1.6224323435000003,4.936930561558747,I2_12_12_1,Orthorhombic,False,GGA+U,GGA+U
mp-1378486,Fe2O3,0.5554000000000001,-1.4319179335,4.454350687565508,Cmcm,Orthorhombic,False,GGA+U,GGA+U
mp-1456,Fe2O3,1.5673,-1.58773147175,4.561835820694543,P4_12_12,Tetragonal,False,GGA+U,GGA+U
mp-19770,Fe2O3,0.0,-1.7070913529999998,5.143372290086497,R-3c,Trigonal,True,GGA+U,GGA+U
mp-510080,Fe2O3,1.3094999999999999,-1.5763701475000005,5.117896042080235,Pbcn,Orthorhombic,False,GGA+U,GGA+U
mp-542896,Fe2O3,1.4309,-1.5912467684999996,4.73497833254106,Pna2_1,Orthorhombic,False,GGA+U,GGA+U
mp-557546,Fe2O3,0.0,-1.1792943676666663,4.134636609292254,P3,Trigonal,False,GGA+U,GGA+U
mp-565814,Fe2O3,1.3902,-1.6357924572499996,4.861809525403182,Ia-3,Cubic,False,GGA+U,GGA+U
mp-685153,Fe2O3,0.9977,-1.481733684625,4.680793651103033,P1,Triclinic,False,GGA+U,GGA+U
mp-705547,Fe2O3,0.8159000000000001,-1.5472384212500003,4.663633346895783,Cm,Monoclinic,False,GGA+U,GGA+U
mp-715276,Fe2O3,1.4248000000000003,-1.5731450780000003,5.190255651373158,Pna2_1,Orthorhombic,False,GGA+U,GGA+U
mp-715572,Fe2O3,0.9184000000000001,-1.6299138022500004,5.186320487293866,C2,Monoclinic,False,GGA+U,GGA+U
mp-716814,Fe2O3,0.0,-1.2040433576666658,4.273710501424484,P3,Trigonal,False,GGA+U,GGA+U
mp-1018659,CeO2,0.8878000000000004,-3.4977297216666656,7.540652946477063,P6_3/mmc,Hexagonal,False,GGA,GGA
mp-1018664,CeO2,2.1485000000000003,-3.8078617183333328,5.962115668676616,P4_2/mnm,Tetragonal,False,GGA,GGA
mp-1062989,CeO2,0.0,-3.159682473333332,7.650904296858459,I4/mmm,Tetragonal,False,GGA,GGA
mp-20194,CeO2,2.0035,-3.927176196666666,6.994759113436836,Fm-3m,Cubic,True,GGA,GGA
mp-361,Cu2O,0.5126999999999997,-0.6445054383333334,6.204947176738228,Pn-3m,Cubic,True,GGA,GGA
